
SunOS ieo2wlzsoax02 5.10 Generic_150400-10 sun4v    06/20/2019

00:00:00    %usr    %sys    %wio   %idle
           sd6,b             0     0.0       0       0     0.0     0.0
           sd6,c             0     0.0       0       0     0.0     0.0
           sd6,d             0     0.0       0       1     0.0    10.9
           sd6,e             0     0.0       0       0     0.0     0.0
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g             1     0.0       3      33     0.0     9.9
           sd6,h             1     0.0       1       1     0.0    14.4
           sd7               0     0.0       0       0     0.0     0.0
           ehci0,bu          0     0.0       0       0     0.0     0.0
           ehci0,ct          0     0.0       0       0     0.0     0.0
           ehci0,in          0     0.0       0       0     0.0     0.0
           ehci0,is          0     0.0       0       0     0.0     0.0
           ehci0,to          0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0
           ohci1,bu          0     0.0       0       0     0.0     0.0
           ohci1,ct          0     0.0       0       0     0.0     0.0
           ohci1,in          0     0.0       0       0     0.0     0.0
           ohci1,is          0     0.0       0       0     0.0     0.0
           ohci1,to          0     0.0       0       0     0.0     0.0

17:00:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       2    10.1    11.8
           md31              0     0.0       0       2     0.0    10.9
           md32              0     0.0       0       2     0.0    10.5
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       1     0.0     9.3
           md51              0     0.0       0       1     0.0     9.3
           md52              0     0.0       0       0     0.0     0.0
           md60              1     0.0       3      30     5.2    12.5
           md61              1     0.0       3      30     0.0    11.1
           md62              1     0.0       3      30     0.0    10.8
           md65              1     0.0       1      15     0.0    19.2
           md66              1     0.0       2      15     0.0    16.7
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0    4920   41217     0.0     0.0
           sd6.t2.m          0     0.0    4638   39604     0.0     0.0
           nfs1              0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd5               2     0.0       4      34     0.0    11.8
           sd5,a             0     0.0       6       2     0.0     0.0
           sd5,b             0     0.0       0       0     0.0     0.0
           sd5,c             0     0.0      12       2     0.0     0.0
           sd5,d             0     0.0       0       2     0.0    10.9
           sd5,e             0     0.0       0       0     0.0     0.0
           sd5,f             0     0.0       0       1     0.0     9.3
           sd5,g             1     0.0       3      30     0.0    11.1
           sd5,h             1     0.0       1       1     0.0    14.5
           sd6               2     0.0       4      32     0.0    11.6
           sd6,a             0     0.0       6       2     0.0     0.0
           sd6,b             0     0.0       0       0     0.0     0.0
